size,time,,
10000,0.234,100000000,2.34E-09
20000,0.426,400000000,1.065E-09
40000,1.176,1600000000,7.35E-10
80000,4.16,6400000000,6.5E-10
160000,15.985,25600000000,6.24414E-10
320000,63.267,1.024E+11,6.17842E-10
500000,154.047,2.5E+11,6.16188E-10
33550336,,1.12563E+15,675375.0274
